_step,eval_loss,train_loss,smoothed_loss,lr
145,,6.146,6.2226,0.000215
145,,6.146,6.2226,0.000215
146,,6.1567,6.212,0.000216
146,,6.1567,6.212,0.000216
147,,6.0718,6.2062,0.000218
147,,6.0718,6.2062,0.000218
148,,6.2036,6.2007,0.000219
148,,6.2036,6.2007,0.000219
149,,6.2119,6.2035,0.000221
149,,6.2119,6.2035,0.000221
150,,6.1675,6.1984,0.000222
150,,6.1675,6.1984,0.000222
151,,6.1553,6.1917,0.000224
151,,6.1553,6.1917,0.000224
152,,6.041,6.1787,0.000225
152,,6.041,6.1787,0.000225
153,,6.0625,6.149,0.000227
153,,6.0625,6.149,0.000227
154,,5.9458,6.1162,0.000228
154,,5.9458,6.1162,0.000228
155,,6.0405,6.1057,0.00023
155,,6.0405,6.1057,0.00023
156,,5.9844,6.0884,0.000231
156,,5.9844,6.0884,0.000231
157,,5.915,6.0728,0.000233
157,,5.915,6.0728,0.000233
158,,5.9336,6.0458,0.000234
158,,5.9336,6.0458,0.000234
159,,5.9263,6.0172,0.000236
159,,5.9263,6.0172,0.000236
160,,5.9541,5.9958,0.000237
160,,5.9541,5.9958,0.000237
161,,5.8604,5.9664,0.000239
161,,5.8604,5.9664,0.000239
162,,5.8306,5.9453,0.00024
162,,5.8306,5.9453,0.00024
163,,5.8516,5.9242,0.000242
163,,5.8516,5.9242,0.000242
164,,5.7822,5.9079,0.000243
164,,5.7822,5.9079,0.000243
165,,5.7954,5.8833,0.000245
165,,5.7954,5.8833,0.000245
166,,5.7915,5.8641,0.000246
166,,5.7915,5.8641,0.000246
167,,5.7632,5.8489,0.000248
167,,5.7632,5.8489,0.000248
168,,5.7539,5.8309,0.000249
168,,5.7539,5.8309,0.000249
169,,5.6594,5.8042,0.00025
169,,5.6594,5.8042,0.00025
170,,5.6704,5.7759,0.000252
170,,5.6704,5.7759,0.000252
171,,5.7964,5.7695,0.000253
171,,5.7964,5.7695,0.000253
172,,5.7104,5.7574,0.000255
172,,5.7104,5.7574,0.000255
173,,5.5942,5.7317,0.000256
173,,5.5942,5.7317,0.000256
174,,5.7139,5.7249,0.000258
174,,5.7139,5.7249,0.000258
175,,5.6743,5.7128,0.000259
175,,5.6743,5.7128,0.000259
176,,5.7305,5.7067,0.000261
176,,5.7305,5.7067,0.000261
177,,5.6377,5.6941,0.000262
177,,5.6377,5.6941,0.000262
178,,5.6128,5.68,0.000264
178,,5.6128,5.68,0.000264
179,,5.6338,5.6774,0.000265
179,,5.6338,5.6774,0.000265
180,,5.7417,5.6846,0.000267
180,,5.7417,5.6846,0.000267
181,,5.6294,5.6679,0.000268
181,,5.6294,5.6679,0.000268
182,,5.6665,5.6635,0.00027
182,,5.6665,5.6635,0.00027
183,,5.7451,5.6786,0.000271
183,,5.7451,5.6786,0.000271
184,,5.6865,5.6758,0.000273
184,,5.6865,5.6758,0.000273
185,,5.6406,5.6725,0.000274
185,,5.6406,5.6725,0.000274
186,,5.6729,5.6667,0.000276
186,,5.6729,5.6667,0.000276
187,,5.7197,5.6749,0.000277
187,,5.7197,5.6749,0.000277
188,,5.6558,5.6792,0.000279
188,,5.6558,5.6792,0.000279
189,,5.6074,5.6766,0.00028
189,,5.6074,5.6766,0.00028
190,,5.5017,5.6526,0.000282
190,,5.5017,5.6526,0.000282
191,,5.5125,5.6409,0.000283
191,,5.5125,5.6409,0.000283
192,,5.5322,5.6274,0.000285
192,,5.5322,5.6274,0.000285
193,,5.5161,5.6045,0.000286
193,,5.5161,5.6045,0.000286
194,,5.5029,5.5862,0.000288
194,,5.5029,5.5862,0.000288
195,,5.6294,5.5851,0.000289
195,,5.6294,5.5851,0.000289
196,,5.6084,5.5786,0.000291
196,,5.6084,5.5786,0.000291
197,,5.5308,5.5597,0.000292
197,,5.5308,5.5597,0.000292
198,,5.4692,5.5411,0.000293
198,,5.4692,5.5411,0.000293
199,,5.5054,5.5309,0.000295
199,,5.5054,5.5309,0.000295
200,,5.5947,5.5402,0.000296
200,,5.5947,5.5402,0.000296
201,,5.595,5.5484,0.000298
201,,5.595,5.5484,0.000298
202,,5.5181,5.547,0.000299
202,,5.5181,5.547,0.000299
203,,5.5112,5.5465,0.000301
203,,5.5112,5.5465,0.000301
204,,5.4717,5.5434,0.000302
204,,5.4717,5.5434,0.000302
205,,5.5254,5.533,0.000304
205,,5.5254,5.533,0.000304
206,,5.4658,5.5187,0.000305
206,,5.4658,5.5187,0.000305
207,,5.4417,5.5098,0.000307
207,,5.4417,5.5098,0.000307
208,,5.5332,5.5162,0.000308
208,,5.5332,5.5162,0.000308
209,,5.3315,5.4988,0.00031
209,,5.3315,5.4988,0.00031
210,,5.3464,5.474,0.000311
210,,5.3464,5.474,0.000311
211,,5.2974,5.4442,0.000313
211,,5.2974,5.4442,0.000313
212,,5.4683,5.4393,0.000314
212,,5.4683,5.4393,0.000314
213,,5.3855,5.4267,0.000316
213,,5.3855,5.4267,0.000316
214,,5.3425,5.4138,0.000317
214,,5.3425,5.4138,0.000317
215,,5.3923,5.4005,0.000319
215,,5.3923,5.4005,0.000319
216,,5.4048,5.3944,0.00032
216,,5.4048,5.3944,0.00032
217,,5.394,5.3896,0.000322
217,,5.394,5.3896,0.000322
218,,5.1934,5.3556,0.000323
218,,5.1934,5.3556,0.000323
219,,5.3611,5.3586,0.000325
219,,5.3611,5.3586,0.000325
220,,5.2607,5.35,0.000326
220,,5.2607,5.35,0.000326
221,,5.1616,5.3364,0.000328
221,,5.1616,5.3364,0.000328
222,,5.2588,5.3155,0.000329
222,,5.2588,5.3155,0.000329
223,,5.4436,5.3213,0.000331
223,,5.4436,5.3213,0.000331
224,,5.3093,5.318,0.000332
224,,5.3093,5.318,0.000332
225,,5.2773,5.3065,0.000333
225,,5.2773,5.3065,0.000333
226,,5.2998,5.296,0.000335
226,,5.2998,5.296,0.000335
227,,5.2866,5.2852,0.000336
227,,5.2866,5.2852,0.000336
228,,5.1265,5.2785,0.000338
228,,5.1265,5.2785,0.000338
229,,5.074,5.2498,0.000339
229,,5.074,5.2498,0.000339
230,,5.1401,5.2378,0.000341
230,,5.1401,5.2378,0.000341
231,,5.3025,5.2519,0.000342
231,,5.3025,5.2519,0.000342
232,,5.1401,5.24,0.000344
232,,5.1401,5.24,0.000344
233,,5.1489,5.2105,0.000345
233,,5.1489,5.2105,0.000345
234,,5.1973,5.1993,0.000347
234,,5.1973,5.1993,0.000347
235,,5.1077,5.1823,0.000348
235,,5.1077,5.1823,0.000348
236,,5.1233,5.1647,0.00035
236,,5.1233,5.1647,0.00035
237,,5.1213,5.1482,0.000351
237,,5.1213,5.1482,0.000351
238,,5.0791,5.1434,0.000353
238,,5.0791,5.1434,0.000353
239,,5.1973,5.1558,0.000354
239,,5.1973,5.1558,0.000354
